return_date,product_id,store_id,quantity
1/1/2022,250,6,1
1/1/2022,628,6,1
1/1/2022,869,6,1
1/2/2022,469,11,1
1/2/2022,532,23,2
1/2/2022,742,23,1
1/2/2022,761,11,1
1/2/2022,1396,11,1
1/3/2022,1,7,1
1/3/2022,365,7,2
1/3/2022,385,7,1
1/3/2022,671,7,1
1/3/2022,1329,23,2
1/5/2022,70,15,1
1/5/2022,461,7,1
1/5/2022,469,23,1
1/5/2022,850,7,1
1/5/2022,927,7,1
1/5/2022,961,23,1
1/5/2022,987,23,1
1/5/2022,1117,23,1
1/5/2022,1292,15,1
1/5/2022,1458,23,1
1/6/2022,23,24,1
1/6/2022,40,24,2
1/6/2022,43,6,1
1/6/2022,85,24,1
1/6/2022,193,24,1
1/6/2022,464,3,1
1/6/2022,918,3,1
1/6/2022,1104,24,2
1/6/2022,1296,3,1
1/7/2022,310,13,1
1/7/2022,418,13,1
1/7/2022,599,13,1
1/7/2022,638,13,1
1/7/2022,1078,13,1
1/7/2022,1152,13,2
1/7/2022,1257,11,1
1/9/2022,132,23,1
1/9/2022,254,3,1
1/9/2022,290,3,1
1/9/2022,568,23,1
1/9/2022,1081,3,2
1/9/2022,1164,3,1
1/9/2022,1230,3,1
1/9/2022,1371,23,1
1/10/2022,12,24,2
1/10/2022,238,24,1
1/10/2022,358,24,1
1/10/2022,964,24,1
1/11/2022,75,13,1
1/11/2022,107,13,1
1/11/2022,188,13,2
1/11/2022,189,13,1
1/11/2022,229,13,2
1/11/2022,391,13,1
1/11/2022,412,24,2
1/11/2022,475,13,1
1/11/2022,484,6,1
1/11/2022,569,13,1
1/11/2022,590,13,1
1/11/2022,594,17,2
1/11/2022,669,17,2
1/11/2022,804,13,1
1/11/2022,915,24,1
1/11/2022,950,6,1
1/11/2022,959,13,1
1/11/2022,992,13,1
1/11/2022,1046,13,1
1/11/2022,1049,13,1
1/11/2022,1063,13,1
1/11/2022,1226,13,1
1/11/2022,1319,13,1
1/11/2022,1327,24,1
1/11/2022,1393,13,1
1/11/2022,1404,13,1
1/11/2022,1445,13,1
1/12/2022,361,7,1
1/12/2022,726,7,1
1/13/2022,466,17,1
1/13/2022,551,17,1
1/13/2022,592,17,1
1/13/2022,895,17,1
1/13/2022,982,17,1
1/13/2022,1107,15,2
1/13/2022,1291,3,1
1/13/2022,1523,15,2
1/13/2022,1531,17,1
1/14/2022,439,6,1
1/14/2022,1098,6,2
1/15/2022,366,24,1
1/15/2022,603,24,1
1/15/2022,879,24,1
1/15/2022,1162,24,1
1/15/2022,1179,24,1
1/16/2022,391,17,1
1/16/2022,551,17,2
1/16/2022,760,17,2
1/16/2022,1043,17,1
1/16/2022,1398,17,1
1/16/2022,1439,17,1
1/17/2022,17,6,1
1/17/2022,176,11,1
1/17/2022,194,6,2
1/17/2022,320,24,1
1/17/2022,598,24,2
1/17/2022,865,24,1
1/17/2022,952,11,2
1/17/2022,954,24,2
1/17/2022,1004,11,1
1/17/2022,1271,24,1
1/18/2022,13,15,1
1/18/2022,139,15,1
1/18/2022,360,15,1
1/18/2022,537,15,1
1/19/2022,167,7,1
1/19/2022,434,16,1
1/19/2022,455,7,1
1/19/2022,497,7,1
1/19/2022,1051,16,1
1/19/2022,1337,7,1
1/19/2022,1463,7,1
1/19/2022,1496,16,2
1/19/2022,1542,7,1
1/20/2022,93,11,1
1/20/2022,100,13,1
1/20/2022,197,16,1
1/20/2022,271,13,1
1/20/2022,443,7,1
1/20/2022,563,16,1
1/20/2022,683,11,1
1/20/2022,784,13,1
1/20/2022,860,11,1
1/20/2022,894,7,1
1/20/2022,1038,11,1
1/20/2022,1045,16,2
1/20/2022,1053,16,1
1/20/2022,1212,11,1
1/20/2022,1218,13,1
1/20/2022,1220,13,1
1/20/2022,1355,16,1
1/20/2022,1357,13,2
1/20/2022,1402,13,1
1/20/2022,1556,16,1
1/21/2022,259,3,1
1/21/2022,360,16,1
1/21/2022,486,16,1
1/21/2022,520,3,2
1/21/2022,651,13,1
1/21/2022,851,13,1
1/21/2022,921,13,1
1/21/2022,952,13,1
1/21/2022,1169,3,1
1/21/2022,1452,16,1
1/21/2022,1481,3,2
1/23/2022,179,13,1
